case_id,prompt_id,model_id,provider,model,status,score,latency_ms,prompt_tokens_estimate,output_tokens_estimate,error,prompt_path,output_path
weird-apocalypse-chapter-00003-2152chars,legacy-default,gemini-3.1-flash-lite,gemini,gemini-3.1-flash-lite,error,,1389,4728,0,ContentFilterError: Блокировка на уровне промпта: PROHIBITED_CONTENT,prompts\weird-apocalypse-chapter-00003-2152chars__legacy-default__gemini-3.1-flash-lite.txt,
weird-apocalypse-chapter-00003-2152chars,basic-translation,gemini-3.1-flash-lite,gemini,gemini-3.1-flash-lite,error,,504,5762,0,ContentFilterError: Блокировка на уровне промпта: PROHIBITED_CONTENT,prompts\weird-apocalypse-chapter-00003-2152chars__basic-translation__gemini-3.1-flash-lite.txt,
weird-apocalypse-chapter-00003-2152chars,basic-translation-short,gemini-3.1-flash-lite,gemini,gemini-3.1-flash-lite,error,,9260,10989,0,PartialGenerationError: Генерация прервана (причина: PROHIBITED_CONTENT),prompts\weird-apocalypse-chapter-00003-2152chars__basic-translation-short__gemini-3.1-flash-lite.txt,
ghost-city-chapter-00001-3611chars,legacy-default,gemini-3.1-flash-lite,gemini,gemini-3.1-flash-lite,ok,75.0,16528,5711,4437,,prompts\ghost-city-chapter-00001-3611chars__legacy-default__gemini-3.1-flash-lite.txt,outputs\ghost-city-chapter-00001-3611chars__legacy-default__gemini-3.1-flash-lite.output.txt
ghost-city-chapter-00001-3611chars,basic-translation,gemini-3.1-flash-lite,gemini,gemini-3.1-flash-lite,ok,75.0,13590,6745,4419,,prompts\ghost-city-chapter-00001-3611chars__basic-translation__gemini-3.1-flash-lite.txt,outputs\ghost-city-chapter-00001-3611chars__basic-translation__gemini-3.1-flash-lite.output.txt
ghost-city-chapter-00001-3611chars,basic-translation-short,gemini-3.1-flash-lite,gemini,gemini-3.1-flash-lite,ok,75.0,15050,11972,4618,,prompts\ghost-city-chapter-00001-3611chars__basic-translation-short__gemini-3.1-flash-lite.txt,outputs\ghost-city-chapter-00001-3611chars__basic-translation-short__gemini-3.1-flash-lite.output.txt
