case_id,prompt_id,model_id,provider,model,status,score,latency_ms,prompt_tokens_estimate,output_tokens_estimate,error,prompt_path,output_path
real-epub-chapter-00001-2143chars,legacy-default,gemini-3.1-flash-lite,gemini,gemini-3.1-flash-lite,ok,95.0,21906,4726,2979,,prompts\real-epub-chapter-00001-2143chars__legacy-default__gemini-3.1-flash-lite.txt,outputs\real-epub-chapter-00001-2143chars__legacy-default__gemini-3.1-flash-lite.output.txt
real-epub-chapter-00001-2143chars,basic-translation,gemini-3.1-flash-lite,gemini,gemini-3.1-flash-lite,error,,13622,5761,0,PartialGenerationError: Gemini Stream Error: This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.,prompts\real-epub-chapter-00001-2143chars__basic-translation__gemini-3.1-flash-lite.txt,
real-epub-chapter-00001-2143chars,basic-translation-short,gemini-3.1-flash-lite,gemini,gemini-3.1-flash-lite,ok,90.0,18802,10987,2881,,prompts\real-epub-chapter-00001-2143chars__basic-translation-short__gemini-3.1-flash-lite.txt,outputs\real-epub-chapter-00001-2143chars__basic-translation-short__gemini-3.1-flash-lite.output.txt
